"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,01/04/18,OSC Lille,Amiens SC,,,"
"E0,01/04/18,FC Nantes,AS Saint-Étienne,,,"
"E0,01/04/18,Olympique Lyonnais,Toulouse FC,,,"
"E0,01/04/18,Paris Saint-Germain,Angers SCO,,,"
"E0,01/04/18,Stade Rennais FC,AS Monaco FC,,,"
"E0,01/04/18,RC Strasbourg Alsace,FC Metz,,,"
"E0,01/04/18,Dijon FCO,Olympique de Marseille,,,"
"E0,01/04/18,ES Troyes AC,OGC Nice,,,"
"E0,07/04/18,EA Guingamp,ES Troyes AC,,,"
"E0,07/04/18,FC Girondins de Bordeaux,OSC Lille,,,"
"E0,07/04/18,Angers SCO,RC Strasbourg Alsace,,,"
"E0,07/04/18,Amiens SC,SM Caen,,,"
"E0,07/04/18,FC Metz,Olympique Lyonnais,,,"
"E0,07/04/18,AS Monaco FC,FC Nantes,,,"
"E0,07/04/18,OGC Nice,Stade Rennais FC,,,"
"E0,07/04/18,Olympique de Marseille,Montpellier Hérault SC,,,"
"E0,07/04/18,AS Saint-Étienne,Paris Saint-Germain,,,"
"E0,07/04/18,Toulouse FC,Dijon FCO,,,"
"E0,14/04/18,Montpellier Hérault SC,FC Girondins de Bordeaux,,,"
"E0,14/04/18,OSC Lille,EA Guingamp,,,"
"E0,14/04/18,SM Caen,Toulouse FC,,,"
"E0,14/04/18,Angers SCO,OGC Nice,,,"
"E0,14/04/18,FC Nantes,Dijon FCO,,,"
"E0,14/04/18,Olympique Lyonnais,Amiens SC,,,"
"E0,14/04/18,Stade Rennais FC,FC Metz,,,"
"E0,14/04/18,RC Strasbourg Alsace,AS Saint-Étienne,,,"
"E0,14/04/18,ES Troyes AC,Olympique de Marseille,,,"
"E0,15/04/18,Paris Saint-Germain,AS Monaco FC,,,"
"E0,21/04/18,EA Guingamp,AS Monaco FC,,,"
"E0,21/04/18,Dijon FCO,Olympique Lyonnais,,,"
"E0,21/04/18,FC Girondins de Bordeaux,Paris Saint-Germain,,,"
"E0,21/04/18,Amiens SC,RC Strasbourg Alsace,,,"
